Sample	S00017985	S00017986	S00017987	S00017988	S00017989	S00017990	S00017991	S00017992	S00017993	S00017994	S00017995	S00017996	S00017997	S00017998	S00017999	S00018000	S00018001	S00018002	S00018003	S00018004	S00018005	S00018006	S00018007	S00018008	S00018009	S00018010	S00018011	S00018012	S00018013	S00018014	S00018015	S00018016	S00018017	S00018018	S00018019	S00018020	S00018021	S00018022	S00018023	S00018024	S00018025	S00018026	S00018027	S00018028	S00018029	S00018030	S00018031	S00018032	S00018033	S00018034	S00018035	S00018036	S00018037	S00018038	S00018039	S00018040	S00018041	S00018042	S00018043	S00018044	S00018045	S00018046	S00018047	S00018048	S00018049	S00018050	S00018051	S00018052	S00018053	S00018054	S00018055	S00018056	S00018057	S00018058	S00018059	S00018060	S00018061	S00018062	S00018063	S00018064	S00018065	S00018066	S00018067	S00018068	S00018069	S00018070	S00018071	S00018072	S00018073	S00018074	S00018075	S00018076	S00018077	S00018078	S00018079	S00018080	S00018081	S00018082	S00018083	S00018084
Factors	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA
CL 70:5; [M-2H](2-)@6.12	5837.78277	11523.41546	8246.320128	5550.677345	6325.76469	7427.110805	2738.157722	6376.805484	10391.16097	2777.073703	22355.80562	4442.077259	6739.510901	8845.056181	12697.60182	6897.46732	3239.647843	5459.905736	5859.857665	6628.689064	18276.98753	6415.678141	5591.160447	13885.65839	5741.603508	1087.491982	6455.733876	13616.69429	16968.24156	9202.889217	12369.69904	14223.95672	20158.20646	8026.213303	20864.80784	21263.4617	9477.074258	7256.999389	15892.77264	12159.70197	7320.814121	4507.396998	14536.80221	150.6478741	8374.849197	17504.66175	2694.639774	8634.585382	8917.848354	6724.228374	13166.18028	13860.47978	6120.989883	17141.96342	9301.695863	7296.363177	19614.47948	32069.7619	6212.329828	4677.32008	3714.371173	7936.988425	5730.695347	27346.71876	12441.42096	3934.57161	9210.967689	11142.43579	16459.29555	9622.461388	19016.22191	5998.068623	15865.72408	7776.470396	14878.61363	15275.33715	4627.708933	20422.9049	11904.3419	3091.768488	4807.041784	5441.248626	18004.18689	8317.12593	11065.93364	34327.08271	6873.312317	8555.774788	4632.389065	19690.40251	3043.079814	3645.300823	4103.636239	25960.76972	6021.752901	4330.563156	16607.00725	7956.261185	6396.312571	1825.92383
CL 74:1; [M-2H](2-)@6.80	39440.77376	78813.81616	32163.96271	3228.113134	42644.98658	33572.33731	60960.56706	44699.47974	53147.19926		68009.8134	55193.80612	34331.10335	41538.83249	39697.00921	35437.82402	49584.7956	41991.07586	2672.779834	35651.46284	57278.25813	41702.83645	40181.94982	4921.644279	51530.27529	42869.17615	6447.449091	58204.22254	100011.8062	42837.14354	68726.08758	151136.8808	46169.35811		61272.13204	70303.90355	66760.63061	2812.987549	59436.62367	55052.31263	58608.52662	4629.532033	46498.45486	94.05360351	2659.106096	63336.25515	31369.10131	3955.081435	55650.46115		43102.50371	52926.2725		23671.1493	44245.80817		5414.959099	3618.490813	34443.92314	28948.95559	43192.93371	33981.28666	44963.5307	2978.4152	68172.78237	57232.63921	42859.23473	66553.34684	71803.17107		5330.053509	42239.926	58810.49106	66529.84834	59167.93844	55505.56712	36280.774		34031.06754	68764.11846				12474.83819	39589.51229	68447.76088		37953.9139	5356.824696	65455.00406	69675.6028	34424.18834	59379.88005	73347.71655	45174.5421	61438.96614	30715.48895	46505.54263	35292.97523	93184.93812
CL 74:5; [M-2H](2-)@6.59	26048.65545	96973.06201	109143.1277	60944.4801	62315.5543	84068.48338	45607.85512	48364.3975	145511.3134	53238.06277	191304.0973	64818.50858	101159.3927	123809.689	122562.6179	78277.61785	28466.41122	28194.2205	67225.19677	67427.65054	186751.7323	91072.70314	110881.7192	87672.98465	75065.78205	14448.77001	64804.63408	44615.75421	150841.6799	28239.26185	68193.85001	214352.4442	148475.5356	109585.6106	145199.505	195061.4377	70409.53568	56885.21041	169196.3883	28932.91813	61481.85607	34524.56321	37543.12622	88.81073342	69654.58941	152352.848	47039.57413	67160.15734	101894.6804	122618.1912	34398.91143	30990.61744	50209.38009	44161.42144	150980.1725	74217.92047	89528.81567	214449.6907	90012.9513	54990.63141	80034.0294	69376.38318	75166.77482	220395.9854	71512.64944	50234.99614	119261.503	107539.9776	208049.2363	145478.2318	194551.3977	107448.21	204335.1105	308084.7151	147247.8674	37840.99053	72802.93247	149407.2472	74957.03695	124349.4012	101034.8829	40284.20625	82516.34524	108571.3825	132888.2009	227917.7312	102912.8877	54111.80772	86385.67181	152003.8772	56150.58155	70417.45451	40567.65314	175007.7865	88102.36497	90147.32263	47404.08349	39704.74872	83712.18043	63921.99418
CL 74:7; [M-2H](2-)@6.14	31088.78717	162314.5554	64426.53638	53431.26356	50196.18682	63733.50265	39881.12593	66737.69363	83054.1736	36780.06406	135974.324	77219.39725	76401.15131	142703.7778	85942.84434	66580.3471	33367.72845	20314.39512	47089.75482	73542.6078	111237.1278	46184.19102	82185.57657	47247.20826	57444.50112	10778.10701	49945.08363	38919.52227	159332.9832	20699.87433	97759.30413	181072.6483	165088.3454	84893.11851	134261.6024	179003.9322	66890.32489	38597.45294	121923.0214	40841.43228	45641.73535	28993.63368	23021.2334	59.73310809	74425.19287	92617.53226	46682.17295	26905.11656	109471.5865	68007.66135	45754.27591	31026.33539	60851.01325	24930.18452	78010.34253	37952.38775	53315.24275	104796.109	55908.99466	37968.68074	31615.94055	66477.97091	76392.7259	133149.9002	34531.23791	30310.21244	110216.8939	56809.78655	212558.3213	95066.84544	127084.7543	89735.99945	79689.15691	94958.13517	59641.26438	46894.38197	53053.02204	98828.81617	33030.74691	70827.97843	68074.85779	59535.68568	99812.50311	48045.76781	210168.2698	175741.3907	124167.6549	48536.79239	62205.75479	98763.08255	42147.33039	54765.23615	20679.88054	142898.1545	51707.58712	63413.6858	19610.61483	23696.89827	58984.69751	53050.95349
CL 78:5; [M-2H](2-)@6.48	16136.1299	7508.083407	25050.45666	3524.052668	6041.993683	4827.120183	11591.6397	5193.465808	5316.247194	9116.139801	9114.163065	6522.343078	15698.15179	13674.84141	32326.24018	11445.30947	5694.742217	29145.74441	5958.726783	9991.836489	12650.24902	14237.41796	4409.177051	11358.94969	9038.131616	6281.188682		13993.02676	15074.03899	12700.43799	20207.29314	11422.15035	9167.577543	11163.57439	28882.11469	12578.27052	9045.151928	29728.51171	12958.71188	81471.8386	31880.0913	22537.45076	38140.65805	144.2672784	19039.63485	14565.73049	12083.84157	11914.52209	17744.8524	17195.75929	70591.27462	15979.77606	16793.47432	23402.44505	12756.91735	14153.49801	21005.77113	33591.09741	12518.78308	5894.239223	14484.83322	8808.919871	10433.41848	2735.538581	19531.70537	17011.68038	6686.754099	7511.576079	24173.41354	6058.047735	28392.70679	8569.518221	12416.05378	9789.989288	17331.24448	13079.95502	2821.949833	3286.009135	15733.54111	9761.041825	4093.927365	14875.39578	15496.04948	7747.292655	26429.14471	17817.25386	11918.26072	33829.9937	8508.539996	9548.457887	5496.239319	3129.326848	8322.017188	30026.37435	6939.752013	5634.023258		13886.47928		3205.337306
CL 82:13; [M-2H](2-)@6.44	8558.819938	11670.26138	14072.62781	12874.31144	7887.809584	7718.309337	15310.10314	15154.28851	15384.7962	8280.629673	24417.40513	16049.9713	20839.27513	21449.83978	26050.60181	15497.68619	3889.241834	5176.616583	17266.1668	13302.56195	25354.9598	9799.541837	28927.19011	8318.224981	15638.33768	5321.777901	10023.00959	27269.94801	20122.24815	6666.073897	3494.808362	14858.36741	11997.06869	10147.61458	11842.81951	30558.079	11855.4957		35872.47145	10469.82831	2575.350576	7131.801587	3726.88239	28.15710181	15542.73415	29846.99521	9968.977788	6070.452864	22210.97583	9291.693615	10425.01504	4443.831116	26191.1461	6092.544303	16309.13784	18724.76263	12392.37188	26867.94766	9555.237317	10198.07342	8053.243663	10427.2361	11633.41522	35250.5156	6908.106694	9052.210762	10644.04959	18474.11639	25979.88685	17467.60086	52903.60746	13884.67964	12938.71219	18821.00804	8263.230461	7252.022499	22155.10349	18511.349	13904.37377	27074.08865	35476.94436	12066.62193	13038.14028	32472.27115	24008.80092	9589.784676	18035.85006	5470.576762	15804.39166	13305.59773	9930.022099	11515.75208	1972.668146	35692.33734	11194.43541	10093.99392	4836.654181	14055.76123	15075.5533	9493.23849
CerP 34:1; [M-H]-@5.89	1478.385394	1020.702409	2417.734544	2176.350631	1021.050558	2424.32555	3255.905737	3320.618036	3534.138141	1948.55949	2313.287712	4608.46453	4055.521475	2998.772482	1341.995431	2188.808552	2169.094503	3197.045309	3209.910183	2415.382093	1503.330077	2475.049378	4016.403259	3209.160075	2622.061126	1682.691529	3189.640723	3548.274201	1965.366574	327.0183037	1131.63782	2602.048916	1528.18505	1972.564052	1946.863434	2559.5223	2121.235024	1670.981487	2037.822789	1500.192002	3220.4922	1350.212756	2183.237379	95.73920143	2827.247952	3295.954514	1107.97938	958.7492384	2341.726594	5137.278787	1410.822808	3096.057867	1222.342811	1169.832015	2654.184133	2688.113409	2373.247297	5053.562159	25.12434704	2411.510691	3803.941734	1791.880209	1500.328259	2458.236245	4241.273987	4046.602782	3874.018435	2696.932503	1381.724916	2052.266215	3497.981525	2823.346368	2041.432884	2810.053846	2582.278245	4303.659983	2159.416988	1400.36313	1371.502701	3006.723611	3884.119063	3959.070613	1000.789964	435.6568084	2628.315462	3442.70886	2664.461925	2757.882411	3052.878378	1430.820784	3258.378464	3386.750083	3398.6992	1902.876907	1162.363221	1177.284365	5614.464676	2191.789695	1947.219772	2385.052229
IS PC 34:0;[M-Ac-H]-	169053.7627	163555.7706	150535.9752	154792.6594	241109.2425	145193.7267	205909.9669	170035.56	183379.4375	184151.1064	163968.2381	158280.0016	206872.1854	204416.6095	248057.6462	152333.9401	194545.2788	179107.6839	180431.4379	174347.1573	152443.0013	227331.5117	172087.1186	300513.3892	177899.9108	344243.2657	250709.4359	200740.0962	190253.6033	185735.7123	254688.1839	233656.24	216234.3378	246588.2364	243049.3037	251509.8984	244874.5396	233109.7525	249014.7321	220982.5359	210498.1513	182473.7324	222708.3974	1452.180929	196714.9119	264189.7009	281560.5999	280161.8729	284607.4109	283394.0596	219258.8359	248456.644	207146.0781	165617.7356	215964.7632	238111.3409	211646.8222	243477.1335	196544.9432	235254.6973	193513.3058	202525.0655	245775.1888	262127.7038	234186.2022	245151.9976	246602.6517	214629.7149	236510.3854	203582.062	230470.8843	245059.8521	235400.2477	233887.1028	231388.8721	259401.76	217424.993	220720.1351	242329.0055	226190.9754	232562.5787	271180.876	282117.2226	266098.8859	242586.6644	316120.1827	297685.691	263493.985	291570.3725	302619.3693	320683.8257	258238.5015	338568.2949	280122.932	352405.9788	282245.9413	299774.3403	304651.3979	292792.3921	262331.5922
IS PE 34:0 ;[M-H]-	368965.8048	466427.4462	342190.0256	332032.6268	549149.3056	294328.0631	429228.3808	374294.5817	419791.3192	385176.474	376169.7877	398233.3748	494885.8837	363406.8425	522644.4558	355857.2109	452246.0287	306256.4058	384469.943	355842.907	526278.3977	543065.2859	453224.0512	639790.9864	440075.6512	780520.6408	483862.8075	465643.4643	480454.5032	433337.3271	628561.7325	499559.0441	524436.0752	531842.7063	582411.3432	621801.4706	517868.3775	536025.1784	638046.4396	449560.4129	477454.1268	401634.518	496362.0321	801.8783733	458619.3666	412332.4249	677140.5729	599293.1451	614937.5971	449319.834	547766.8139	630374.5204	379725.9829	342676.2812	440231.7525	505016.6042	379908.0696	532124.602	378875.5962	435076.875	385209.7689	546412.1058	499878.6033	579977.9236	443160.8834	494986.8279	498359.2329	528664.6337	450772.9944	503470.0137	516781.3692	439061.0745	531463.7232	513965.0061	609822.7356	403035.984	475332.6984	525886.9455	467183.2363	422731.9991	536556.2668	562942.0747	572424.6641	569127.2413	512181.452	586009.1119	567147.3101	616539.2703	655375.9834	630416.2559	856135.3222	479516.4906	958225.4111	530002.7435	800776.9802	586104.796	431312.4947	572491.0794	606786.3113	573656.3589
