metabolite_name	S00017985	S00017986	S00017987	S00017988	S00017989	S00017990	S00017991	S00017992	S00017993	S00017994	S00017995	S00017996	S00017997	S00017998	S00017999	S00018000	S00018001	S00018002	S00018003	S00018004	S00018005	S00018006	S00018007	S00018008	S00018009	S00018010	S00018011	S00018012	S00018013	S00018014	S00018015	S00018016	S00018017	S00018018	S00018019	S00018020	S00018021	S00018022	S00018023	S00018024	S00018025	S00018026	S00018027	S00018028	S00018029	S00018030	S00018031	S00018032	S00018033	S00018034	S00018035	S00018036	S00018037	S00018038	S00018039	S00018040	S00018041	S00018042	S00018043	S00018044	S00018045	S00018046	S00018047	S00018048	S00018049	S00018050	S00018051	S00018052	S00018053	S00018054	S00018055	S00018056	S00018057	S00018058	S00018059	S00018060	S00018061	S00018062	S00018063	S00018064	S00018065	S00018066	S00018067	S00018068	S00018069	S00018070	S00018071	S00018072	S00018073	S00018074	S00018075	S00018076	S00018077	S00018078	S00018079	S00018080	S00018081	S00018082	S00018083	S00018084
Factors	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:Baseline	Progressors:Non-progressor | Visit:Followup	Progressors:Progressor | Visit:Baseline	Progressors:Progressor | Visit:Followup	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA	Progressors:Non-progressor | Visit:NA	Progressors:Progressor | Visit:NA
CE(16:0); [M+NH4]+@11.11	31228.81843	31813.71068	30680.17621	26264.43144	21411.98526	32422.93072	46007.30996	53823.217	46735.86541	36534.29895	41277.37585	27937.99969	31970.84211	30612.20491	26556.93828	51096.39578	46177.13252	39650.39426	31170.53393	48255.3186	40362.45988	31329.59838	23641.73627	20399.30258	23297.3563	43937.73352	57290.70482	47505.98407	28644.94302	40192.21939	32552.07376	40581.67751	31789.78175	30457.61881	31950.77615	17619.30105	43404.49106	31141.29848	56676.08943	34002.87515	38948.94237	44341.72347	25372.14672	30172.11998	34202.83275	40924.20478	52172.64482	34102.89514	23727.21909	36857.59101	28758.18842	43597.58019	25404.04654	27574.30083	27762.67539	23183.1568	24502.58283	19357.96549	23851.55478	22730.39532	23651.22131	17420.60207	16535.40581	22327.94425	36148.95647	35640.53467	28170.59345	19240.93014	21718.23018	31274.2301	20375.96042	15251.63778	32134.24385	23910.06879	27089.47948	29591.84305	32763.5038	35192.81108	33306.32719	29407.7329	22253.52321	16222.42052	28027.80879	38048.43371	21119.3656	17556.64565	34472.35166	24931.24761	26711.40784	32874.59169	28232.87146	25439.6197	23726.17036	18879.76726	36061.44677	20527.35379	18952.89075	26390.17449	24816.35078	14506.44518
CE(16:1); [M+NH4]+@10.73	8809.676195	19040.03047	12380.50926	16378.94809	9948.892727	6773.156879	22448.13291	32879.69929	4492.221239	12014.73555	17984.36408	22702.00818	15988.7229	14481.32398	10831.81776	11350.42288	14860.49933	16741.9435	25925.3764	12783.5825	11041.28723	17118.74154	13467.08672	11020.35454	3337.368333	12552.56156	17084.91801	9253.701904	17049.87832	16369.35174	7731.351096	13148.38813	23037.99849	14846.34899	46911.96125	19073.90023	9342.108877	26521.76269	10185.14438	18784.62994	15165.97492	40062.60663	23389.49599	3386.649964	15491.1988	10647.55972	15698.17702	6218.8767	12064.28808	11848.14834	9599.05809	8656.580773	11378.8257	12303.04472	8775.452615	10004.15967	8987.323638	19344.48101	15297.94042	10691.83841	4961.525516	6321.28088	6507.770579	12685.85514	14817.24417	10461.46823	12289.66574	15203.53558	15117.55053	7800.237532	9205.31824	6206.300581	3109.45673	11838.87155	18863.90472	18422.64483	9360.175376	14613.75585	8078.440866	17599.84331	7264.941137	15213.35964	12557.70839	5208.480634	22890.63267	35627.82553	12861.36336	3633.709786	9192.549281	7085.04255	11540.95738	7495.160009	6236.225232	14334.15212	10186.98147	11189.53798	3974.480919	12834.37832	13134.97202	10598.98658
CE(17:1); [M+NH4]+@10.92	6313.249477	7503.114949	11197.58281	5751.245029	5611.616771	5179.537264	5555.71027	10348.16334	1260.185892	1181.666799	6974.723595	5234.402579	5540.183628	8719.73936	1899.631459	7455.279219	9203.441019	7607.848188	9113.834546	9263.514343	8160.88884	13675.97564	3551.459762	3792.477913	3879.980242	6777.816426	7059.834511	11781.28322	12585.68879	7617.428278	7014.571631	6321.406094	4795.126302	4975.841681	14055.51743	8224.019803	8094.6523	10849.42215	3903.89721	6695.770167	11670.24051	14383.70098	7991.565866	3842.78191	14722.91015	7980.847237	5587.714118	5410.338703	6147.506547	7444.23907	7112.998468	5276.422863	6668.112873	8445.860156	6637.930014	5334.418316	7735.858793	4174.881798	11964.34446	5726.345802	2280.553652	669.9131629	1340.280231	6164.302988	4088.714725	5063.547201	7077.879156	4327.628424	5999.640828	5624.35977	4187.301963	3726.63497	3576.356414	5687.139217	9716.478625	7864.986635	6514.168994	3319.108741	5189.165146	6536.042927	5774.791496	5290.918327	4151.580492	6398.278865	11805.64348	4830.642881	6570.813922	1124.554196	1427.328622	5054.998723	4998.966977	10815.0176	6108.260063	8305.630639	1168.09117	4355.317737	2876.121197	5736.560767	7037.686071	6626.316639
CE(18:0); [M+NH4]+@11.35	13439.57552	23073.0373	32015.43235	29265.58618	21122.84546	23676.88475	23781.51302	16649.20337	24616.73526	18173.76212	25482.05037	21520.94557	33381.33606	17222.6201	21069.8644	20128.76205	19256.07503	13360.5887	33560.41656	28885.00369	22431.80779	30585.74271	20552.48352	14231.90619	28033.72653	15338.28816	28298.03922	23799.39021	28296.38335	17851.59578	27132.1723	34194.14899	21339.99984	15514.29027	22393.40444	24001.13425	25000.93879	23604.98293	20896.33802	26448.08862	27034.86837	24931.21145	18457.06538	13455.0645	41216.94811	31534.59748	13427.94125	24186.99707	18496.88393	26540.16669	23712.09862	16182.47824	15237.39062	22910.14038	20335.16683	16955.17299	26233.46499	25063.52706	30506.92652	18182.64437	8803.091126	17735.92951	11812.59024	13999.58353	27039.99356	22747.59989	17195.59693	15570.51655	11440.6293	15081.43787	25871.30395	20727.47497	23337.71194	21493.69214	19915.94817	20293.53451	18034.90046	13245.64496	15880.69463	16043.32816	16777.18181	17323.64931	26316.66026	18060.26649	12580.09149	27947.22658	19720.99121	12746.78319	9804.274654	28736.41787	13587.20943	11566.91148	21765.73426	25163.27072	20652.89298	17982.56256	22064.6847	18050.86912	24374.59271	25269.30765
CE(18:1); [M+NH4]+@11.13	225987.1065	332195.183	218884.5365	208338.2161	147944.1252	169032.0032	339768.4377	303387.1215	277296.3978	211314.5516	234890.3925	213291.3451	254267.1675	235221.4416	328225.979	240881.2189	289857.9103	209866.9927	323799.2133	258732.507	210890.8538	239351.9665	225469.2512	281198.9596	172529.9389	168908.3784	300511.833	201677.8591	315828.0971	278241.1234	226461.2492	262832.5008	201273.6302	172548.0396	355429.1934	347879.7549	269303.4765	235819.2665	230454.2397	235620.4434	256640.145	278829.5772	211959.1573	241165.2418	323187.0898	384146.5264	272322.0121	264522.1692	296011.7769	264863.9436	329843.1379	315338.8491	251161.7407	204839.7155	222877.9315	313013.4871	282993.2988	299498.6273	262867.9089	155922.6789	174997.1346	226120.2467	217125.124	265288.9207	299314.8519	292686.2483	292262.6572	185104.9811	367926.8038	236635.7195	425706.6759	276255.6434	242750.149	326916.204	256685.0955	247843.8797	245845.003	299782.0952	181188.6046	198526.6529	297420.5804	261443.2822	276628.8697	319176.2296	253600.7632	250401.3427	233134.7489	142635.8155	239514.6893	258585.6148	219861.1915	212293.5553	210441.4032	285080.2237	319247.0254	209455.6164	178092.9235	179115.337	423193.1343	320794.9344
CE(18:2); [M+NH4]+@10.90	1505010.172	1372071.122	1233319.071	1369899.107	1814112.516	982194.8824	1354005.083	1286607.68	1171069.755	1201598.146	966275.1567	895799.3081	1235300.594	1295845.694	1560058.002	1709674.43	1334294.916	1270917.672	1244095.333	1673948.653	1286303.528	1146863.492	1128492.273	1314931.078	936994.4784	1153026.407	1219681.46	1394177.119	1242674.817	1448226.235	1099463.408	921203.5821	1022407.865	1007039.762	1248566.057	1667726.108	1339869.624	1407507.391	1190478.823	1060171.153	1698039.678	1119760.241	1105654.432	1743708.216	1642448.821	1771230.117	1522280.84	1496050.672	1010829.283	1384747.02	1211762.895	1636555.682	1152787.641	1560168.656	1586433.58	1798202.322	1425859.217	1337524.415	1358332.24	1147611.326	1342361.317	1261625.346	1095166.633	1266890.897	1557160.529	1831164.635	2056345.884	1530701.818	1767552.948	1215127.367	2016696.098	1409395.793	1853935.209	1536965.29	1474421.005	1556835.028	1692013.115	1403719.81	1663076.119	1542403.669	2146969.377	1821632.538	1749700.546	1884995.65	1557427.042	1198046.061	1388176.158	1013977.837	1265883.291	1462313.014	1484681.2	1103381.114	1540103.609	1911892.388	1768986.617	1499205.884	1309234.79	1351051.743	1988328.53	2144905.342
CE(18:2); [M+NH4]+@12.95	1924.777811	3201.419061	3085.912301	1864.663905	3649.973097	2426.526932	3771.785222	3473.714759	1474.02794	1763.343196	3249.777967	1900.631085	2795.107998	1954.171954	6759.6724	3703.443104	3179.696358	2224.065569	3792.265018	5806.702828	2673.11863	2310.581761	2202.437459	2060.922736	2268.558818	1279.2856	4306.889921	3951.985641	2840.959257	3074.552067	5144.651677	5486.598858	3013.693275	1505.342456	7096.338947	5058.523185	5457.587405	4464.639446	4636.572276	1732.173351	4861.2603	7185.591794	519.5150072	5361.090315	6570.587839	4163.099039	2869.291084	2509.924884	2518.678234	3179.435103	3762.398892	3191.45248	5698.80573	3768.509234	2190.946672	3663.41306	4620.925122	4377.31838	5950.697777	3290.171358	3102.81617	3336.461155	3772.414738	2337.921163	3809.414346	1970.836985	2595.214685	3934.102984	6222.158966	2248.502106	16191.86041	3100.874043	8708.913055	5808.474209	9689.162699	4457.841917	3666.021988	2376.426343	3667.843363	2119.078941	4410.387362	3760.606534	4429.639019	6370.702072	1374.808006	3528.509211	3886.482097	4096.697179	5250.149505	4039.740023	3818.48682	3719.838761	3053.745536	5122.827242	9329.516853	3055.290784	2339.614024	6462.580363	4099.517772	8292.404225
CE(18:3); [M+NH4]+@9.25	68269.2069	63735.97515	87715.94446	19723.10304	88789.41416	9450.50641	48082.38621	30894.77766	21992.27384	31220.47959	32259.8644	10581.30556	55498.23026	47387.78939	111072.7761	31675.3818	40776.28652	89658.33297	26814.32788	42501.66929	15007.4108	93952.26486	25233.58479	132371.2648	11736.20819	59898.81618	43257.22077	93867.29894	45773.24559	80015.50125	59015.04336	21764.38429	32617.09419	48184.22215	167427.68	82064.25753	66290.54	113981.167	29841.77409	107366.6868	153134.9863	122117.0718	91891.87197	109806.6241	59201.43413	64494.90679	40427.05116	212223.4702	105338.0323	105399.0556	165618.4181	261311.9208	58950.84486	252969.3733	71501.44743	176049.5185	172083.0431	189441.7328	101825.9823	67591.81732	123799.9638	63258.89391	62426.28698	66354.72469	257262.0592	132428.8182	75130.12426	95481.00289	99900.96527	36376.08184	176654.1336	64144.9072	217480.5239	16682.49419	175190.1667	159347.7941	6907.30126	32812.72009	131536.8168	92844.96842	84981.56981	165571.3305	62594.44775	55988.75486	90544.92641	62062.6064	66655.72612	160632.0866	45365.979	50653.97311	85893.09187	15326.9725	205603.6991	123138.6982	59302.061	78480.58143	156334.7285	66106.34138	81626.38988	58086.47319
CE(20:1); [M+NH4]+@11.32	2507.179402	5552.77884	5948.112985	4037.163123	3109.200053	2924.874203	5106.591641	2611.962667	3978.199277	2663.756664	1958.740076	1622.802461	3861.339777	6692.374451	4392.780713	1196.690025	2927.478759	2978.201893	6745.332733	4609.536638	3935.864813	3341.658704	3307.477991	3549.930356	1922.993031	3253.414134	2952.855879	3817.097518	4916.878982	3298.012214	4309.664928	3287.203674	2506.019227	3792.977015	6511.71022	4297.829025	4528.674548	4914.708883	1969.541763	5072.071393	5350.028221	3421.971454	4016.085676	3461.503334	5429.223427	6618.258884	5371.898481	5028.64721	6067.915638	2646.212227	5574.019564	4099.217679	2388.07937	2460.434806	5798.605023	6310.467097	5474.075783	4919.98929	3829.510475	1868.803862	2760.920397	5558.337648	4052.742893	4319.11347	2837.518079	6269.532365	4830.570327	3654.625715	4361.775465	2465.003898	12805.63597	6265.823834	4339.111138	10972.48469	8796.936757	5642.488468	4425.546721	3998.62547	3437.718912	2103.798791	6315.270638	4289.757218	2709.504525	7723.262988	3176.787759	3412.32068	2774.235321	2550.748649	2503.207183	2201.227319	6427.725235	2757.534507	2505.573275	6026.914659	6182.258243	2204.174658	2138.286732	3199.798773	6332.734125	3987.659556
